WarehouseName,District,State,DistrictCSVpath
NANDED - HIRED,Nanded,Maharashtra,data/Nanded.csv
NELLORE,Nellore,Andhra Pradesh,data/Nellore.csv
NIZAMABAD,Nizamabad,Telangana,data/Nizamabad.csv
OKHLA II NCCF- HIRED,New Delhi,Delhi,data/Delhi.csv
OKHLA-I,New Delhi,Delhi,data/Delhi.csv
OKHLA-II,New Delhi,Delhi,data/Delhi.csv
PATAN - HIRED,Patan,Gujarat,data/Patan.csv
PATHANKOT BD,Pathankot,Punjab,data/Pathankot.csv
PITHAMPUR,Dhar,Madhya Pradesh,data/Dhar.csv
PONNARI -HIRED CCI,Peddapalli,Telangana,data/Peddapalli.csv
PONNARI II- HIRED CCI,Peddapalli,Telangana,data/Peddapalli.csv
PUDUCHERY,Puducherry,Puducherry,data/Puducherry.csv
PUNE PIMPRI - ICD,Pune,Maharashtra,data/Pune.csv
RAICHUR - HIRED,Raichur,Karnataka,data/Raichur.csv
RAIGARH-I,Raigarh,Chhattisgarh,data/Raigarh.csv
RAIGARH-II,Raigarh,Chhattisgarh,data/Raigarh.csv
RAIPUR-I,Raipur,Chhattisgarh,data/Raipur.csv
RAIPUR-III,Raipur,Chhattisgarh,data/Raipur.csv
RAIPUR-IV,Raipur,Chhattisgarh,data/Raipur.csv
RAJKOT- HIRED,Rajkot,Gujarat,data/Rajkot.csv
RAJKOT-I,Rajkot,Gujarat,data/Rajkot.csv
RAJKOT-II,Rajkot,Gujarat,data/Rajkot.csv
RAMPUR,Rampur,Uttar Pradesh,data/Rampur.csv
RANCHI,Ranchi,Jharkhand,data/Ranchi.csv
RANCHI II - HIRED,Ranchi,Jharkhand,data/Ranchi.csv
ROHTAK - HIRED,Rohtak,Haryana,data/Rohtak.csv
ROHTAK-II-HIRED,Rohtak,Haryana,data/Rohtak.csv
SARANGPUR,Rajgarh,Madhya Pradesh,data/Rajgarh.csv
SARUL,Bhiwani,Haryana,data/Bhiwani.csv
SATHYAMANGALAM-HIRED,Erode,Tamil Nadu,data/Erode.csv
SEVUR-HIRED NAFED,Erode,Tamil Nadu,data/Erode.csv
SHAHGANJ,Jaunpur,Uttar Pradesh,data/Jaunpur.csv
SIDDIPET,Siddipet,Telangana,data/Siddipet.csv
SIDDIPET- HIRED CCI,Siddipet,Telangana,data/Siddipet.csv
SILCHAR - HIRED,Cachar,Assam,data/Karimganj.csv
SINDRI - HIRED,Dhanbad,Jharkhand,data/Dhanbad.csv
SINGANALLUR,Coimbatore,Tamil Nadu,data/Coimbatore.csv
SIRSA,Sirsa,Haryana,data/Hisar.csv
SITAPURA-I,Jaipur,Rajasthan,data/Jaipur.csv
SITAPURA-II,Jaipur,Rajasthan,data/Jaipur.csv
SOHAGPUR,Shahdol,Madhya Pradesh,data/Bhind.csv
